R: 19 -> miss (tag 9, index 3)
W: 47 -> miss (tag 23, index 3)
R: 47 -> hit (tag 23, index 3)
R: 13 -> miss (tag 6, index 3)
R: 23 -> miss (tag 11, index 3)
W: 47 -> miss (tag 23, index 3)
R: 47 -> hit (tag 23, index 3)
R: 14 -> miss (tag 7, index 3)
R: 27 -> miss (tag 13, index 3)
W: 47 -> miss (tag 23, index 3)
R: 47 -> hit (tag 23, index 3)
R: 15 -> miss (tag 7, index 3)
R: 31 -> miss (tag 15, index 3)
W: 47 -> miss (tag 23, index 3)
